Year,Public administration,Units,Value
2021,Regional and local governments,Euro per capita,30.2
2017,Regional and local governments,Euro per capita,25.7
2018,Regional and local governments,Euro per capita,27.6
2019,Regional and local governments,Euro per capita,29.2
2015,Regional and local governments,Euro per capita,25.7
2020,Regional and local governments,Euro per capita,29.2
2022,Regional and local governments,Euro per capita,37.7
2016,Regional and local governments,Euro per capita,24.7
2020,Regional government,Euro per capita,9.6
2017,Regional government,Euro per capita,7.9
2010,Regional government,Euro per capita,14.1
2016,Regional government,Euro per capita,7.1
2014,Regional government,Euro per capita,15.2
2019,Regional government,Euro per capita,8.6
2018,Regional government,Euro per capita,8.4
2013,Regional government,Euro per capita,6.4
2021,Regional government,Euro per capita,9.1
2022,Regional government,Euro per capita,12.7
2015,Regional government,Euro per capita,7.3
2011,Regional government,Euro per capita,10.6
2012,Regional government,Euro per capita,8.2
2015,Local government,Euro per capita,18.4
2016,Local government,Euro per capita,17.6
2017,Local government,Euro per capita,17.9
2018,Local government,Euro per capita,19.2
2019,Local government,Euro per capita,20.5
2020,Local government,Euro per capita,19.6
2021,Local government,Euro per capita,21.1
2022,Local government,Euro per capita,25.1
