Year,Tipo de vacuna,Units,Value
2019,"Difteria, tétanos y tosferina en la población infantil ",%,93.1
2023,"Difteria, tétanos y tosferina en la población infantil ",%,94.9
2018,"Difteria, tétanos y tosferina en la población infantil ",%,92.5
2021,"Difteria, tétanos y tosferina en la población infantil ",%,90.8
2017,"Difteria, tétanos y tosferina en la población infantil ",%,93.0
2022,"Difteria, tétanos y tosferina en la población infantil ",%,94.2
2020,"Difteria, tétanos y tosferina en la población infantil ",%,85.5
2017,Neumococo en la población infantil ,%,88.3
2020,Neumococo en la población infantil ,%,85.4
2021,Neumococo en la población infantil ,%,90.6
2019,Neumococo en la población infantil ,%,93.3
2022,Neumococo en la población infantil ,%,94.2
2023,Neumococo en la población infantil ,%,94.7
2018,Neumococo en la población infantil ,%,91.3
2017,"Sarampión, rubeola y parotiditis en la población infantil",%,94.7
2018,"Sarampión, rubeola y parotiditis en la población infantil",%,93.5
2019,"Sarampión, rubeola y parotiditis en la población infantil",%,94.2
2020,"Sarampión, rubeola y parotiditis en la población infantil",%,90.2
2021,"Sarampión, rubeola y parotiditis en la población infantil",%,83.3
2022,"Sarampión, rubeola y parotiditis en la población infantil",%,88.1
2023,"Sarampión, rubeola y parotiditis en la población infantil",%,91.3
2017,Papiloma humano (VPH) en las adolescentes ,%,93.4
2019,Papiloma humano (VPH) en las adolescentes ,%,85.5
2018,Papiloma humano (VPH) en las adolescentes ,%,92.6
2020,Papiloma humano (VPH) en las adolescentes ,%,88.5
2021,Papiloma humano (VPH) en las adolescentes ,%,69.1
2022,Papiloma humano (VPH) en las adolescentes ,%,85.3
2023,Papiloma humano (VPH) en las adolescentes ,%,92.8
