Year,Territorio histórico,Units,Value
2022,,Por 100.000,52.2
2012,,Por 100.000,98.2
2021,,Por 100.000,56.5
2016,,Por 100.000,78.5
2017,,Por 100.000,73.8
2013,,Por 100.000,89.4
2014,,Por 100.000,83.7
2011,,Por 100.000,101.0
2023,,Por 100.000,51.0
2020,,Por 100.000,62.1
2010,,Por 100.000,103.5
2018,,Por 100.000,71.4
2019,,Por 100.000,68.0
2024,,Por 100.000,50.2
2015,,Por 100.000,82.2
2013,Araba/Álava,Por 100.000,102.4
2010,Araba/Álava,Por 100.000,122.5
2017,Araba/Álava,Por 100.000,76.0
2014,Araba/Álava,Por 100.000,93.9
2018,Araba/Álava,Por 100.000,72.6
2020,Araba/Álava,Por 100.000,63.2
2021,Araba/Álava,Por 100.000,58.8
2011,Araba/Álava,Por 100.000,118.0
2024,Araba/Álava,Por 100.000,52.2
2015,Araba/Álava,Por 100.000,91.6
2022,Araba/Álava,Por 100.000,54.4
2023,Araba/Álava,Por 100.000,53.2
2019,Araba/Álava,Por 100.000,68.9
2012,Araba/Álava,Por 100.000,113.8
2016,Araba/Álava,Por 100.000,83.7
2011,Bizkaia,Por 100.000,98.8
2013,Bizkaia,Por 100.000,85.6
2014,Bizkaia,Por 100.000,79.4
2015,Bizkaia,Por 100.000,78.3
2017,Bizkaia,Por 100.000,71.0
2018,Bizkaia,Por 100.000,69.0
2019,Bizkaia,Por 100.000,66.0
2021,Bizkaia,Por 100.000,54.1
2022,Bizkaia,Por 100.000,50.4
2023,Bizkaia,Por 100.000,49.2
2024,Bizkaia,Por 100.000,48.2
2010,Bizkaia,Por 100.000,101.2
2020,Bizkaia,Por 100.000,59.5
2016,Bizkaia,Por 100.000,75.4
2012,Bizkaia,Por 100.000,95.8
2024,Gipuzkoa,Por 100.000,52.4
2010,Gipuzkoa,Por 100.000,98.7
2011,Gipuzkoa,Por 100.000,97.0
2012,Gipuzkoa,Por 100.000,94.8
2013,Gipuzkoa,Por 100.000,89.7
2014,Gipuzkoa,Por 100.000,86.1
2015,Gipuzkoa,Por 100.000,84.4
2016,Gipuzkoa,Por 100.000,81.3
2017,Gipuzkoa,Por 100.000,77.5
2018,Gipuzkoa,Por 100.000,74.7
2019,Gipuzkoa,Por 100.000,70.8
2020,Gipuzkoa,Por 100.000,65.8
2021,Gipuzkoa,Por 100.000,59.4
2022,Gipuzkoa,Por 100.000,54.3
2023,Gipuzkoa,Por 100.000,52.8
