Year,Series,Adina,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,50.8
2010,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,50.1
2019,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,50.6
2022,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,51.3
2015,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,48.7
2016,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,48.5
2021,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,49.7
2018,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,50.1
2023,Okupazio-tasa,16 urte eta gehiago,,,,,,%,,52.2
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,54.2
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,54.4
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,53.9
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,54.4
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,53.6
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,53.5
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,52.8
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,54.0
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,54.9
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,56.0
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,61.7
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,58.3
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,54.2
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,58.2
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,58.9
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,60.8
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,63.0
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,55.4
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,49.2
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,50.7
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,52.1
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,51.8
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,53.7
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,50.3
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,51.5
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,51.8
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,49.5
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,67.3
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,67.0
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,65.3
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,65.0
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,62.5
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,62.9
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,65.7
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,61.4
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Aduna,%,Aduna,65.4
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,53.0
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,52.8
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,53.6
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,54.8
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,53.2
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,55.4
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,53.3
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,55.8
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,52.7
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,56.3
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,56.2
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,60.5
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,62.1
2022,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,61.3
2010,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,57.1
2021,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,60.3
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,58.1
2019,Okupazio-tasa,16 urte eta gehiago,,,,,Aia,%,Aia,60.1
2023,Okupazio-tasa,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,57.6
2016,Okupazio-tasa,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,53.8
2020,Okupazio-tasa,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,56.6
2015,Okupazio-tasa,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,54.0
2018,Okupazio-tasa,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,55.7
